250	0	3630	0
547	1	3486	0
3486	1	352	0
603	2	3637	0
250	0	547	0
2347	3	1541	0
547	4	3486	0
3390	5	2392	0
3486	1	2330	0
88	6	345	0
1430	7	3486	0
3486	1	1430	0
2933	8	2290	0
2351	4	603	0
2351	4	3486	0
345	9	2699	0
1778	5	2043	0
2699	9	345	0
88	6	2811	0
2811	6	88	0
345	9	1360	0
143	10	3486	0
1360	9	345	0
250	0	547	0
2769	11	88	0
2330	8	2290	0
2409	1	232	0
1778	5	2043	0
3486	1	85	0
3486	0	3630	0
2323	12	2168	0
2085	1	88	0
1687	12	2168	0
1687	12	603	0
345	6	88	0
547	4	143	0
1541	3	2347	0
2290	13	2330	0
1411	1	1571	0
1282	6	3486	0
3623	1	2848	0
1430	14	88	0
88	15	1430	0
1430	14	88	0
88	15	1430	0
3000	16	603	0
588	17	2330	0
3623	1	3443	0
3630	4	2848	0
3105	7	1327	0
603	13	2330	0
2699	1	2330	0
603	18	88	0
2330	8	603	0
3000	16	603	0
3486	6	1282	0
2699	1	2330	0
2933	9	2409	0
2409	9	2933	0
3129	9	2409	0
2933	1	733	0
2409	9	3129	0
2351	8	603	0
2769	4	603	0
2351	8	603	0
3000	7	2442	0
1282	19	1740	0
250	0	88	0
3486	1	2330	0
2933	1	300	0
975	20	3584	0
2085	1	88	0
2409	1	232	0
250	0	547	0
547	1	3486	0
3105	7	1327	1
547	21	660	1
2699	1	2330	1
603	13	2330	1
2330	8	603	1
2699	1	2330	1
2019	22	2489	1
3486	1	547	1
2019	22	603	1
2085	7	1740	1
88	23	603	1
3486	14	88	1
603	18	88	1
3105	7	1327	1
2019	24	29	1
88	15	1430	1
2323	13	2330	1
2330	8	2323	1
588	17	2330	1
2323	13	2330	1
2330	8	2323	1
2019	22	1430	1
2019	22	603	1
2019	22	1430	1
2019	22	1024	1
603	25	1430	1
1430	9	88	1
2067	1	2699	1
88	15	3486	1
603	26	2351	1
250	0	88	1
2163	20	2484	1
1430	14	88	1
1430	9	2811	1
2811	9	1430	1
1580	1	1516	1
2019	22	603	1
2019	22	1430	1
1430	1	2392	1
2811	9	1430	1
1430	9	2811	1
88	15	1430	1
1430	14	88	1
2225	9	1580	1
1430	14	88	1
1580	9	2225	1
2330	23	2323	1
2019	22	603	1
1584	1	1450	1
2699	27	3486	1
2019	22	1430	1
2019	22	603	1
2019	22	1430	1
2019	22	603	1
2330	23	2323	1
2330	23	300	1
2330	23	300	1
2149	14	88	1
88	15	2149	1
88	9	1430	1
88	15	1430	1
3042	1	3486	1
1430	14	88	1
3486	28	603	1
2933	8	733	1
2863	21	986	1
2863	1	986	1
1430	14	88	1
88	15	1430	1
1430	7	2351	1
1430	7	603	1
1430	14	88	1
88	15	1430	1
3486	8	88	1
83	1	2351	1
83	29	1687	1
83	29	2351	1
88	23	273	1
1430	7	3270	1
2019	22	603	1
2019	22	603	1
2019	22	603	1
2966	23	661	1
1430	7	2351	1
2699	1	2323	1
1580	1	2489	1
1430	7	603	1
1430	16	3486	1
1430	7	2351	1
1430	7	2351	1
1430	7	603	1
2966	8	2857	1
2019	22	1430	1
3500	10	547	1
1430	21	3486	1
2955	30	603	1
828	1	1430	1
2811	9	1430	1
2955	30	603	1
2323	13	2330	1
2330	8	2323	1
1430	1	1282	1
1430	14	88	1
88	15	1430	1
1430	7	603	1
1430	9	2811	1
2811	9	1430	1
88	15	1430	1
1430	9	2811	1
1430	1	2392	1
2409	1	2955	1
1430	7	2351	1
2067	1	2699	1
2330	23	300	1
1430	9	88	1
88	15	1430	1
1430	14	88	1
1997	9	1580	1
88	9	1430	1
2933	23	2323	1
1430	16	3486	1
1580	9	1997	1
1430	21	3486	1
2586	24	1430	1
1997	22	1663	1
2019	24	518	2
2019	24	2225	2
2019	22	1430	2
2019	22	518	2
1997	24	518	2
3630	8	3486	2
2019	22	1430	2
2019	22	518	2
1997	24	518	2
2163	1	2489	2
2019	22	518	2
1430	14	88	2
83	29	1687	2
83	29	2351	2
1740	31	85	2
1740	8	3486	2
88	15	1430	2
1430	7	2351	2
1430	7	603	2
1430	7	3270	2
1430	7	2351	2
3630	8	3486	2
2163	1	1430	2
1430	16	3486	2
2863	21	986	2
88	8	2290	2
2863	7	1450	2
3623	1	88	2
2470	8	2323	2
2330	1	2933	2
2392	8	88	2
3486	11	88	2
2019	22	1430	2
3630	8	88	2
2330	8	2323	2
88	8	3630	2
2933	1	986	2
2769	8	2290	2
2225	1	2863	2
2019	22	1430	2
1997	24	1430	2
2019	22	603	2
2489	1	88	2
1997	32	1430	2
2067	22	2489	2
2067	22	603	2
1584	22	2489	2
2983	24	1430	2
3129	22	2489	2
2863	1	986	2
83	1	2351	2
2019	22	518	2
2240	33	1450	2
2225	9	1430	2
625	20	3486	2
3122	34	625	2
1379	9	2699	2
1997	22	603	2
3019	1	1430	2
2225	1	2019	2
547	8	88	2
687	24	603	2
405	35	2225	2
2330	8	3486	2
2351	8	3486	2
1430	24	687	2
88	8	2323	2
2965	16	3630	2
88	8	3486	2
2225	22	2863	2
1544	1	1430	2
2225	22	2863	2
2699	9	2409	2
2144	7	2225	2
2409	9	2699	2
2409	9	1379	2
2699	9	1379	2
88	15	1430	2
1379	9	2409	2
1430	14	88	2
1430	9	2225	2
2019	22	2489	2
1430	9	1379	2
1379	9	1430	2
2163	1	2019	2
3129	22	2489	2
1544	21	2504	2
2067	22	2489	2
2983	24	1430	2
2163	1	88	2
1450	7	2351	2
3300	1	986	2
1281	7	1760	2
2067	22	603	2
88	23	1687	2
2442	8	2323	2
1997	22	1430	2
3735	1	733	2
3630	8	3486	2
2392	8	88	2
1379	1	3486	2
2067	22	603	2
2067	22	2489	2
2067	22	1430	2
1282	1	1430	2
1997	22	2863	3
2863	24	518	3
737	13	2351	3
737	8	1687	3
2225	22	2863	3
969	1	2489	3
100	1	88	3
1544	1	1430	3
2225	1	3443	3
1430	25	2019	3
1997	22	1430	3
2392	8	603	3
2225	1	1450	3
1430	25	2019	3
3486	28	603	3
1997	22	1430	3
1997	22	2863	3
3623	21	2019	3
2811	23	603	3
1430	25	2019	3
1997	22	1430	3
1997	22	2863	3
2225	1	1430	3
1430	25	2019	3
2392	8	88	3
2586	24	1430	3
2019	22	1430	3
2144	7	2225	3
2019	22	1430	3
3623	36	986	3
2019	22	518	3
1901	37	547	3
2019	22	603	3
2385	11	88	3
2385	3	3208	3
3208	3	2385	3
2699	1	2330	3
1430	25	2019	3
2019	22	603	3
3630	11	88	3
603	21	2019	3
2330	8	733	3
603	21	2019	3
2019	22	1430	3
2019	22	603	3
2019	22	1430	3
2019	22	603	3
3623	1	1282	3
3630	8	2848	3
2019	22	1430	3
2019	22	1430	3
3675	1	1430	3
2019	22	603	3
2019	22	1430	3
1430	25	2019	3
88	23	603	3
2225	1	1430	3
2225	1	1430	3
2933	8	88	3
2933	1	2323	3
2323	13	88	3
2323	13	2769	3
88	8	2323	3
2769	8	2323	3
2019	22	1430	3
3486	1	88	3
250	0	2330	3
2933	1	2330	3
2149	38	88	3
2769	1	3630	3
2330	8	3486	3
3623	39	986	3
1679	1	88	3
2699	1	2332	3
3486	1	2330	3
1430	7	2019	3
1679	1	88	3
1379	24	2409	3
1584	22	603	3
2409	1	789	3
1450	22	603	3
1584	24	2489	3
2409	1	2933	3
3630	8	3486	3
427	1	1225	3
8	1	1590	3
2442	23	3486	3
3486	8	3630	3
2163	1	1430	3
2019	24	2489	3
1379	7	603	3
400	7	1282	3
400	7	684	3
2019	22	603	3
2144	34	2019	3
2225	1	1450	3
1430	1	2489	3
1430	25	2019	3
2163	1	3618	3
2769	1	88	3
2225	1	1430	3
2225	1	1450	3
1379	7	88	3
3486	27	603	3
2811	23	603	3
3623	17	603	3
88	8	1704	3
3486	8	2392	3
1430	25	2019	3
2163	1	2489	3
2330	8	603	3
2019	22	603	3
1214	32	2857	3
1282	1	2489	3
250	0	547	4
2769	1	3630	4
1901	37	547	4
1430	25	1997	4
603	0	88	4
1997	1	1430	4
603	24	3618	4
250	13	3630	4
3486	8	603	4
1541	1	1225	4
1430	21	2769	4
2347	8	88	4
1430	25	2019	4
603	13	3621	4
1551	1	2392	4
603	13	2330	4
603	18	88	4
2217	1	1430	4
1430	7	2067	4
2392	14	88	4
88	15	2392	4
3735	1	3486	4
3486	1	3735	4
1901	0	88	4
250	0	547	4
3486	1	2330	4
3486	1	2330	4
2225	1	1430	4
687	24	603	4
1430	24	687	4
85	8	2290	4
2019	22	1430	4
3735	1	2323	4
85	8	603	4
2351	8	603	4
2323	13	85	4
3486	8	2933	4
3486	7	85	4
733	13	2351	4
733	13	603	4
603	13	2351	4
603	13	733	4
2351	8	733	4
2323	13	88	4
250	13	547	4
2323	13	2769	4
3735	1	3486	4
88	8	2323	4
2769	8	2323	4
250	13	547	4
250	13	88	4
2162	1	1715	4
603	22	518	4
2933	8	3486	4
3486	8	2933	4
1379	24	2409	4
2409	1	88	4
1379	9	2409	4
2409	9	1379	4
2323	13	2347	4
1430	1	85	4
603	18	2679	4
1164	9	2763	4
3486	1	3735	4
143	18	88	4
603	13	2392	4
1430	40	2489	4
2225	1	1430	4
3623	1	1740	4
2442	8	603	4
2933	1	2290	4
2217	1	1430	4
603	22	2489	4
603	38	88	4
2225	34	88	4
250	13	3623	4
88	23	1704	4
262	13	547	4
2933	23	143	4
3486	1	2330	4
2019	7	2225	4
3735	1	3486	4
1430	7	2067	4
2933	1	1687	4
438	19	88	4
1430	7	2067	4
2983	24	1430	4
2347	8	88	4
2067	7	1430	4
2933	8	1704	4
1704	13	2933	4
2933	23	603	4
2217	1	1430	4
262	0	547	4
85	8	603	4
2217	1	1430	4
2290	6	2769	4
2933	8	3486	4
3486	8	2933	4
3735	1	3486	4
2225	1	1430	4
400	1	3618	4
2933	19	895	4
603	13	3486	4
3486	8	2933	4
2763	9	1164	4
3486	1	1225	4
3486	12	603	4
640	0	3630	4
2933	1	1687	4
1687	13	2933	4
1541	1	1225	4
603	13	733	4
2769	6	2290	4
2351	8	733	4
1997	22	1430	4
3300	1	1450	4
85	8	2290	4
2323	13	85	4
1430	25	2019	4
3486	7	85	4
2351	8	603	4
733	13	603	4
603	13	2351	4
733	13	2351	4
3486	8	2933	4
410	41	1280	5
88	8	1687	5
2933	1	2290	5
2290	13	2330	5
2330	8	2290	5
2225	34	88	5
603	18	88	5
1282	1	1901	5
2351	8	1687	5
2225	1	2019	5
2067	1	1450	5
1430	9	2225	5
2225	9	1430	5
3019	1	1430	5
2019	22	2489	5
3486	5	2168	5
3486	12	2168	5
603	0	88	5
